patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP,HOG,SIFT,SSIM
10396306,11476434,2019-08-27,2022-10-18,fl:su_ln:kim-153,fl:su_ln:kim-153,1,0.9937164708043882,0.0963851,1257,0.8586554195333498
10396306,10447991,2019-08-27,2019-10-15,fl:su_ln:kim-153,fl:jo_ln:santos-18,0,0.987070330274758,0.1575875,55,0.7949705233820609
10448548,10405469,2019-10-15,2019-09-03,fl:ry_ln:eguchi-1,fl:ry_ln:eguchi-1,1,0.9899210904470986,0.07459653,1873,0.8074428234813126
10448548,10463720,2019-10-15,2019-11-05,fl:ry_ln:eguchi-1,fl:ke_ln:um-2,0,0.9892618676370554,0.07231026,93,0.8033453874818671
10395332,10467704,2019-08-27,2019-11-05,fl:sc_ln:christensen-3,fl:sc_ln:christensen-3,1,0.9792860740599293,0.18767737,2825,0.6276091710283594
10395332,10445766,2019-08-27,2019-10-15,fl:sc_ln:christensen-3,fl:gr_ln:collison-1,0,0.9749725265210947,0.24261567,210,0.6340019249018389
10448367,10469302,2019-10-15,2019-11-05,fl:ji_ln:choi-161,fl:ji_ln:choi-161,1,0.9913001051572964,0.110266276,589,0.8015225733979473
10448367,10445200,2019-10-15,2019-10-15,fl:ji_ln:choi-161,fl:ji_ln:park-50,0,0.9870847350629856,0.12815776,5,0.7656739541735457
10467311,10390687,2019-11-05,2019-08-27,fl:jo_ln:lee-182,fl:jo_ln:lee-182,1,0.9851546199180954,0.22387901,2440,0.7002059731076312
10467311,10468053,2019-11-05,2019-11-05,fl:jo_ln:lee-182,fl:ed_ln:huitema-1,0,0.9390778465730714,0.2942834,216,0.47857839721175877
10470206,10394357,2019-11-05,2019-08-27,fl:yi_ln:sun-51,fl:yi_ln:sun-51,1,0.9918866437516777,0.15445788,1023,0.7827500890293829
10470206,10470134,2019-11-05,2019-11-05,fl:yi_ln:sun-51,fl:bo_ln:chun-5,0,0.9949558048908823,0.02321938,56,0.8559333417092715
10396126,10396200,2019-08-27,2019-08-27,fl:so_ln:seo-5,fl:so_ln:seo-5,1,0.963958878235857,0.44556674,4870,0.48026655630868614
10396126,11477762,2019-08-27,2022-10-18,fl:so_ln:seo-5,fl:ky_ln:park-392,0,0.968210577057379,0.29818088,6,0.43673552747068645
10441887,10441888,2019-10-15,2019-10-15,fl:ri_ln:kulavik-1,fl:ri_ln:kulavik-1,1,0.9890414754169844,0.07870182,1023,0.7790955012412435
10441887,11476386,2019-10-15,2022-10-18,fl:ri_ln:kulavik-1,fl:ro_ln:armitage-2,0,0.9696963106442239,0.123984866,42,0.5711726394132282
10441124,10465825,2019-10-15,2019-11-05,fl:da_ln:petersen-24,fl:da_ln:petersen-24,1,0.9772314333433114,0.103615135,2722,0.6865445617004868
10441124,10443079,2019-10-15,2019-10-15,fl:da_ln:petersen-24,fl:al_ln:green-4,0,0.9844080449434878,0.117638,187,0.7864564288214441
10401662,10448531,2019-09-03,2019-10-15,fl:yo_ln:hirakata-4,fl:yo_ln:hirakata-4,1,0.9948787599802599,0.031051667,964,0.8860810793263411
10401662,10448325,2019-09-03,2019-10-15,fl:yo_ln:hirakata-4,fl:ky_ln:lee-526,0,0.9945372328068831,0.057950653,80,0.8750375114955379
10403641,10403638,2019-09-03,2019-09-03,fl:ja_ln:ahn-14,fl:ja_ln:ahn-14,1,0.9838501671975857,0.16019097,470,0.762396115886752
10403641,10466665,2019-09-03,2019-11-05,fl:ja_ln:ahn-14,fl:ch_ln:walden-3,0,0.9634647520405719,0.2912671,16,0.5730252697062437
11476304,10396125,2022-10-18,2019-08-27,fl:fa_ln:pellizzer-1,fl:fa_ln:pellizzer-1,1,0.966645180905883,0.48746344,7498,0.5593563502948705
11476304,10397395,2022-10-18,2019-08-27,fl:fa_ln:pellizzer-1,fl:su_ln:subramanian-5,0,0.9696687414936864,0.2322725,360,0.5514111438433369
10448346,10397904,2019-10-15,2019-08-27,fl:mu_ln:islam-1,fl:mu_ln:islam-1,1,0.987576719006449,0.18582998,2431,0.7522607919436857
10448346,10447851,2019-10-15,2019-10-15,fl:mu_ln:islam-1,fl:ma_ln:krishnamoorthy-3,0,0.9858182138494567,0.191339,89,0.7106919618084753
10445271,11474879,2019-10-15,2022-10-18,fl:an_ln:cunningham-7,fl:an_ln:cunningham-7,1,0.9887444694744768,0.09813071,1169,0.7217596679216837
10445271,10468457,2019-10-15,2019-11-05,fl:an_ln:cunningham-7,fl:ka_ln:yamane-2,0,0.9869445513666191,0.11924461,72,0.7555140382331018
11475638,10468014,2022-10-18,2019-11-05,fl:mi_ln:mossoba-1,fl:mi_ln:mossoba-1,1,0.9874364805790344,0.08442614,1780,0.7103462116204784
11475638,10444311,2022-10-18,2019-10-15,fl:mi_ln:mossoba-1,fl:ne_ln:parikh-7,0,0.990863848657399,0.07597469,85,0.7732886905356816
10470139,10397824,2019-11-05,2019-08-27,fl:se_ln:yi-35,fl:se_ln:yi-35,1,0.984486031674503,0.2201866,1602,0.5936989295803797
10470139,11471532,2019-11-05,2022-10-18,fl:se_ln:yi-35,fl:ma_ln:mann-8,0,0.9714679196395961,0.2556918,30,0.5945033088572462
